,comptage_horaire,jour_ferie,vacances_scolaires,date_et_heure_de_comptage_utc,date_et_heure_de_comptage_local,date_et_heure_de_comptage_week_end,date_et_heure_de_comptage_sin_hour,date_et_heure_de_comptage_cos_hour,date_et_heure_de_comptage_sin_day_of_week,date_et_heure_de_comptage_cos_day_of_week,date_et_heure_de_comptage_sin_month,date_et_heure_de_comptage_cos_month
3236,111,1,Vacances d'Été,2024-07-13 23:00:00+00:00,2024-07-14 01:00:00+02:00,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3237,82,1,Vacances d'Été,2024-07-14 00:00:00+00:00,2024-07-14 02:00:00+02:00,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3238,43,1,Vacances d'Été,2024-07-14 01:00:00+00:00,2024-07-14 03:00:00+02:00,1,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3239,43,1,Vacances d'Été,2024-07-14 02:00:00+00:00,2024-07-14 04:00:00+02:00,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3240,37,1,Vacances d'Été,2024-07-14 03:00:00+00:00,2024-07-14 05:00:00+02:00,1,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3241,38,1,Vacances d'Été,2024-07-14 04:00:00+00:00,2024-07-14 06:00:00+02:00,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3242,33,1,Vacances d'Été,2024-07-14 05:00:00+00:00,2024-07-14 07:00:00+02:00,1,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3243,85,1,Vacances d'Été,2024-07-14 06:00:00+00:00,2024-07-14 08:00:00+02:00,1,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3244,116,1,Vacances d'Été,2024-07-14 07:00:00+00:00,2024-07-14 09:00:00+02:00,1,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3245,209,1,Vacances d'Été,2024-07-14 08:00:00+00:00,2024-07-14 10:00:00+02:00,1,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3246,222,1,Vacances d'Été,2024-07-14 09:00:00+00:00,2024-07-14 11:00:00+02:00,1,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3247,249,1,Vacances d'Été,2024-07-14 10:00:00+00:00,2024-07-14 12:00:00+02:00,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3248,255,1,Vacances d'Été,2024-07-14 11:00:00+00:00,2024-07-14 13:00:00+02:00,1,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3249,267,1,Vacances d'Été,2024-07-14 12:00:00+00:00,2024-07-14 14:00:00+02:00,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3250,310,1,Vacances d'Été,2024-07-14 13:00:00+00:00,2024-07-14 15:00:00+02:00,1,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3251,337,1,Vacances d'Été,2024-07-14 14:00:00+00:00,2024-07-14 16:00:00+02:00,1,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
